# eps_floor   K2
1.000000e-01 1.58845790e-06
6.309573e-02 1.65285230e-06
3.981072e-02 1.69358511e-06
2.511886e-02 1.71933074e-06
1.584893e-02 1.73561145e-06
1.000000e-02 1.74589392e-06
6.309573e-03 1.75238822e-06
3.981072e-03 1.75648997e-06
2.511886e-03 1.75907979e-06
1.584893e-03 1.76071407e-06
1.000000e-03 1.76174633e-06
6.309573e-04 1.76239767e-06
3.981072e-04 1.76280880e-06
2.511886e-04 1.76306828e-06
1.584893e-04 1.76323195e-06
1.000000e-04 1.76333523e-06
6.309573e-05 1.76340042e-06
3.981072e-05 1.76344154e-06
2.511886e-05 1.76346750e-06
1.584893e-05 1.76348388e-06
1.000000e-05 1.76349422e-06
6.309573e-06 1.76350074e-06
3.981072e-06 1.76350485e-06
2.511886e-06 1.76350745e-06
1.584893e-06 1.76350909e-06
1.000000e-06 1.76351012e-06
6.309573e-07 1.76351077e-06
3.981072e-07 1.76351118e-06
2.511886e-07 1.76351144e-06
1.584893e-07 1.76351161e-06
1.000000e-07 1.76351171e-06
