# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 1.23298073e-02 0.0491 50000
3.162278e-05 1.19811395e-02 0.0365 50000
1.000000e-04 1.20851383e-02 0.0378 50000
3.162278e-04 1.18971082e-02 0.0346 50000
1.000000e-03 1.19783826e-02 0.0349 50000
3.162278e-03 1.18832522e-02 0.0306 50000
1.000000e-02 1.19802817e-02 0.0319 50000
3.162278e-02 1.21536248e-02 0.0363 50000
1.000000e-01 1.18477412e-02 0.0250 50000
3.162278e-01 1.21127161e-02 0.0063 50000
1.000000e+00 1.22233176e-02 0.0064 50000
3.162278e+00 1.21942721e-02 0.0063 50000
1.000000e+01 1.21835568e-02 0.0063 50000
3.162278e+01 1.22762273e-02 0.0064 50000
1.000000e+02 1.22662445e-02 0.0063 50000
3.162278e+02 1.22251849e-02 0.0064 50000
1.000000e+03 1.22713140e-02 0.0063 50000
