# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 1.374792e+03 2.76573009e-02 0.0241 50000
1.778279e-05 7.664184e+02 2.69609812e-02 0.0237 50000
3.162278e-05 4.260365e+02 2.70875425e-02 0.0226 50000
5.623413e-05 2.358460e+02 2.65234962e-02 0.0222 50000
1.000000e-04 1.298911e+02 2.73247390e-02 0.0246 50000
1.778279e-04 7.103463e+01 2.72772616e-02 0.0248 50000
3.162278e-04 3.849592e+01 2.63565679e-02 0.0211 50000
5.623413e-04 2.059649e+01 2.70477891e-02 0.0230 50000
1.000000e-03 1.083656e+01 2.69013069e-02 0.0266 50000
1.778279e-03 5.571071e+00 2.63885961e-02 0.0249 50000
3.162278e-03 2.779301e+00 2.73108636e-02 0.0373 50000
5.623413e-03 1.331418e+00 2.62842351e-02 0.0307 50000
1.000000e-02 6.041833e-01 2.46788865e-02 0.0242 50000
1.778279e-02 2.557835e-01 2.41184607e-02 0.0293 50000
3.162278e-02 9.841715e-02 2.17073652e-02 0.0358 50000
5.623413e-02 3.322942e-02 1.92866768e-02 0.0412 90281
1.000000e-01 9.282504e-03 1.58004919e-02 0.0269 323189
1.778279e-01 1.956659e-03 1.16314681e-02 0.0243 1533226
3.162278e-01 2.667441e-04 6.61267075e-03 0.0315 5000000
5.623413e-01 1.819154e-05 2.90564730e-03 0.1136 5000000
1.000000e+00 4.064215e-07 9.15995650e-04 0.5820 5000000
1.778279e+00 1.539471e-09 0.00000000e+00 0.0000 5000000
3.162278e+00 3.627842e-13 0.00000000e+00 0.0000 5000000
5.623413e+00 1.144180e-18 0.00000000e+00 0.0000 5000000
1.000000e+01 1.808747e-27 0.00000000e+00 0.0000 5000000
1.778279e+01 1.398784e-55 0.00000000e+00 0.0000 5000000
3.162278e+01 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
