# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 5.13418547e-02 0.0132 100000
1.778279e-05 5.07036534e-02 0.0125 100000
3.162278e-05 5.09323128e-02 0.0125 100000
5.623413e-05 5.10282813e-02 0.0135 100000
1.000000e-04 5.09487841e-02 0.0139 100000
1.778279e-04 5.12133600e-02 0.0158 100000
3.162278e-04 5.08478016e-02 0.0151 100000
5.623413e-04 5.13176726e-02 0.0138 100000
1.000000e-03 5.06029682e-02 0.0131 100000
1.778279e-03 5.11870757e-02 0.0136 100000
3.162278e-03 5.13324908e-02 0.0147 100000
5.623413e-03 5.01078800e-02 0.0120 100000
1.000000e-02 5.12092200e-02 0.0139 100000
1.778279e-02 5.08188882e-02 0.0138 100000
3.162278e-02 5.08908226e-02 0.0132 100000
5.623413e-02 5.08492869e-02 0.0148 100000
1.000000e-01 5.08423008e-02 0.0121 100000
1.778279e-01 5.14051610e-02 0.0135 100000
3.162278e-01 5.09577725e-02 0.0123 100000
5.623413e-01 5.13354505e-02 0.0114 100000
1.000000e+00 5.08393282e-02 0.0045 100000
1.778279e+00 5.10584298e-02 0.0045 100000
3.162278e+00 5.10736721e-02 0.0045 100000
5.623413e+00 5.08832385e-02 0.0045 100000
1.000000e+01 5.09833343e-02 0.0045 100000
1.778279e+01 5.09933047e-02 0.0045 100000
3.162278e+01 5.11869831e-02 0.0045 100000
5.623413e+01 5.10776833e-02 0.0044 100000
1.000000e+02 5.10080150e-02 0.0045 100000
1.778279e+02 5.09450059e-02 0.0045 100000
3.162278e+02 5.11172752e-02 0.0044 100000
5.623413e+02 5.10426613e-02 0.0044 100000
1.000000e+03 5.09461608e-02 0.0044 100000
