# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 8.60477227e-02 0.0096 100000
1.778279e-05 8.71287074e-02 0.0113 100000
3.162278e-05 8.67798834e-02 0.0103 100000
5.623413e-05 8.75774444e-02 0.0108 100000
1.000000e-04 8.80083680e-02 0.0113 100000
1.778279e-04 8.64618358e-02 0.0099 100000
3.162278e-04 8.63455423e-02 0.0100 100000
5.623413e-04 8.69496896e-02 0.0113 100000
1.000000e-03 8.70898764e-02 0.0114 100000
1.778279e-03 8.65265396e-02 0.0098 100000
3.162278e-03 8.71518474e-02 0.0107 100000
5.623413e-03 8.64296596e-02 0.0096 100000
1.000000e-02 8.59781946e-02 0.0100 100000
1.778279e-02 8.65840081e-02 0.0098 100000
3.162278e-02 8.68951896e-02 0.0096 100000
5.623413e-02 8.65701350e-02 0.0106 100000
1.000000e-01 8.66856734e-02 0.0094 100000
1.778279e-01 8.71154613e-02 0.0107 100000
3.162278e-01 8.62451335e-02 0.0084 100000
5.623413e-01 8.70447613e-02 0.0096 100000
1.000000e+00 8.65619032e-02 0.0055 100000
1.778279e+00 8.68191986e-02 0.0045 100000
3.162278e+00 8.68614494e-02 0.0045 100000
5.623413e+00 8.65377962e-02 0.0045 100000
1.000000e+01 8.67080307e-02 0.0045 100000
1.778279e+01 8.67249875e-02 0.0045 100000
3.162278e+01 8.70543788e-02 0.0045 100000
5.623413e+01 8.68684913e-02 0.0044 100000
1.000000e+02 8.67500055e-02 0.0045 100000
1.778279e+02 8.66428450e-02 0.0045 100000
3.162278e+02 8.69358258e-02 0.0044 100000
5.623413e+02 8.68089289e-02 0.0044 100000
1.000000e+03 8.66448093e-02 0.0044 100000
