x, y
0.9195305732171752, 2.0697080756494706
0.8361452084797568, 1.829029805988174
0.8361452084797568, 1.829029805988174
0.8028669031235187, 1.3268925722257627
0.7776433860185352, 0.9746809369475616
0.7592651313316225, 0.6835341060363096
0.746333011882774, 0.5192842688876227
0.736205684771416, 0.3957337365088911
0.7270655922590347, 0.3168953799240487
0.7231754956604175, 0.26225092213410794
0.7167355878458999, 0.20844717697108314
0.7066605645543551, 0.15142757524121134
0.6951668001503735, 0.07869682347232705
0.6951668001503735, 0.07869682347232705
0.6872950752684657, 0.05748334527726001
0.9732073683006163, 1.9062150051822389
1.0106634412644449, 1.6450840363595232
1.04710612771939, 1.315348860830749
1.0930877233127934, 1.0545854095586267
1.1651100831957635, 0.6573535893436749
1.2385054183488338, 0.4164961234440352
1.3057223647864533, 0.2768502026320439
1.366152890603292, 0.187811544855692
1.4208365342181397, 0.13766547589785375
1.4769389189454243, 0.0984771171150328
1.5287654664029684, 0.07369646059002725
1.5826776286755693, 0.05132648200696876
1.6420620780961412, 0.03669896310735822
1.7180006864876352, 0.027780998346082903
