# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 1.08348986e-01 0.0122 50000
3.162278e-05 1.09135362e-01 0.0134 50000
1.000000e-04 1.08433409e-01 0.0131 50000
3.162278e-04 1.09067225e-01 0.0150 50000
1.000000e-03 1.07117617e-01 0.0122 50000
3.162278e-03 1.09092840e-01 0.0118 50000
1.000000e-02 1.06940937e-01 0.0120 50000
3.162278e-02 1.08559662e-01 0.0121 50000
1.000000e-01 1.09328636e-01 0.0119 50000
3.162278e-01 1.08560800e-01 0.0124 50000
1.000000e+00 1.08928342e-01 0.0092 50000
3.162278e+00 1.08454675e-01 0.0063 50000
1.000000e+01 1.08360144e-01 0.0063 50000
3.162278e+01 1.09184352e-01 0.0064 50000
1.000000e+02 1.09095565e-01 0.0063 50000
3.162278e+02 1.08730383e-01 0.0064 50000
1.000000e+03 1.09140653e-01 0.0063 50000
