zs = 0.2   kappa_thr(N=100) = 6.56724e-06   fixed kappa_min = 6.56724e-09
1.778e-01    8.253803e-02           8.269851e-02          
3.162e-01    9.044683e-02           9.070379e-02          
5.623e-01    9.527276e-02           9.569791e-02          
1.000e+00    9.704789e-02           9.776858e-02          
1.778e+00    9.697510e-02           9.820618e-02          
3.162e+00    9.615163e-02           9.823811e-02          
5.623e+00    9.475394e-02           9.823856e-02          
1.000e+01    9.252538e-02           9.823856e-02          
1.778e+01    8.907993e-02           9.823856e-02          
3.162e+01    8.393084e-02           9.823856e-02          
5.623e+01    7.652915e-02           9.823856e-02          
1.000e+02    6.638336e-02           9.823856e-02          
1.778e+02    5.332615e-02           9.823856e-02          
3.162e+02    3.800128e-02           9.823856e-02          
5.623e+02    2.238598e-02           9.823856e-02          
1.000e+03    9.695544e-03           9.823856e-02          

wrote playground/sigmaW_vs_kthr_zs7.txt
zs = 10   kappa_thr(N=100) = 0.00137308   fixed kappa_min = 1.37308e-06
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    1.439218e-03           1.339792e-03          
1.778e-05    1.914722e-03           1.841551e-03          
3.162e-05    2.546226e-03           2.492225e-03          
5.623e-05    3.381336e-03           3.341605e-03          
1.000e-04    4.485971e-03           4.457104e-03          
1.778e-04    5.940789e-03           5.920361e-03          
3.162e-04    7.846636e-03           7.832974e-03          
5.623e-04    1.033218e-02           1.032422e-02          
1.000e-03    1.354580e-02           1.354301e-02          
1.778e-03    1.765703e-02           1.765935e-02          
3.162e-03    2.284759e-02           2.285550e-02          
5.623e-03    2.928620e-02           2.930083e-02          
1.000e-02    3.710009e-02           3.712346e-02          
1.778e-02    4.632025e-02           4.635571e-02          
3.162e-02    5.683135e-02           5.688434e-02          
5.623e-02    6.827963e-02           6.835902e-02          
1.000e-01    8.000363e-02           8.012428e-02          
1.778e-01    9.092887e-02           9.111622e-02          
3.162e-01    9.969230e-02           9.999157e-02          
5.623e-01    1.051566e-01           1.056496e-01          
1.000e+00    1.072531e-01           1.080846e-01          
1.778e+00    1.072229e-01           1.086355e-01          
3.162e+00    1.063008e-01           1.086805e-01          
5.623e+00    1.047340e-01           1.086813e-01          
1.000e+01    1.022578e-01           1.086813e-01          
1.778e+01    9.845769e-02           1.086813e-01          
3.162e+01    9.281553e-02           1.086813e-01          
5.623e+01    8.475448e-02           1.086813e-01          
1.000e+02    7.373777e-02           1.086813e-01          
1.778e+02    5.956974e-02           1.086813e-01          
3.162e+02    4.288109e-02           1.086813e-01          
5.623e+02    2.571132e-02           1.086813e-01          
1.000e+03    1.148758e-02           1.086813e-01          

wrote playground/sigmaW_vs_kthr_zs10.txt
