# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 1.166396e+04 8.67303138e-02 0.0136 50000
1.778279e-05 6.494423e+03 8.65693836e-02 0.0138 50000
3.162278e-05 3.601337e+03 8.69617167e-02 0.0141 50000
5.623413e-05 1.989769e+03 8.66947877e-02 0.0136 50000
1.000000e-04 1.093675e+03 8.62519964e-02 0.0128 50000
1.778279e-04 5.961946e+02 8.66537962e-02 0.0154 50000
3.162278e-04 3.216305e+02 8.70554408e-02 0.0146 50000
5.623413e-04 1.711546e+02 8.62889718e-02 0.0154 50000
1.000000e-03 8.959166e+01 8.60462037e-02 0.0139 50000
1.778279e-03 4.581185e+01 8.70998839e-02 0.0146 50000
3.162278e-03 2.276320e+01 8.49048575e-02 0.0140 50000
5.623413e-03 1.090131e+01 8.43248377e-02 0.0188 50000
1.000000e-02 4.983343e+00 8.09231990e-02 0.0155 50000
1.778279e-02 2.149350e+00 7.85667432e-02 0.0158 50000
3.162278e-02 8.605340e-01 7.46327518e-02 0.0180 50000
5.623413e-02 3.124881e-01 6.66554240e-02 0.0205 50000
1.000000e-01 9.919243e-02 6.00426834e-02 0.0358 50000
1.778279e-01 2.596043e-02 4.65957037e-02 0.0269 115560
3.162278e-01 5.107314e-03 3.25975592e-02 0.0241 587393
5.623413e-01 6.499787e-04 1.85224901e-02 0.0204 4615536
1.000000e+00 4.160679e-05 7.71962257e-03 0.0743 5000000
1.778279e+00 8.955742e-07 2.11136712e-03 0.4087 5000000
3.162278e+00 3.476588e-09 0.00000000e+00 0.0000 5000000
5.623413e+00 9.604642e-13 0.00000000e+00 0.0000 5000000
1.000000e+01 4.617558e-18 0.00000000e+00 0.0000 5000000
1.778279e+01 2.846556e-26 0.00000000e+00 0.0000 5000000
3.162278e+01 4.947856e-48 0.00000000e+00 0.0000 5000000
5.623413e+01 2.075650e-165 0.00000000e+00 0.0000 5000000
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
