# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 2.77395309e-02 0.0195 100000
1.778279e-05 2.72631671e-02 0.0187 100000
3.162278e-05 2.73763304e-02 0.0179 100000
5.623413e-05 2.68931721e-02 0.0173 100000
1.000000e-04 2.71434738e-02 0.0200 100000
1.778279e-04 2.73853492e-02 0.0197 100000
3.162278e-04 2.72548361e-02 0.0194 100000
5.623413e-04 2.73784188e-02 0.0200 100000
1.000000e-03 2.72002961e-02 0.0172 100000
1.778279e-03 2.74523594e-02 0.0188 100000
3.162278e-03 2.70172481e-02 0.0187 100000
5.623413e-03 2.68890431e-02 0.0177 100000
1.000000e-02 2.72289202e-02 0.0176 100000
1.778279e-02 2.72861817e-02 0.0187 100000
3.162278e-02 2.73178930e-02 0.0179 100000
5.623413e-02 2.75043027e-02 0.0176 100000
1.000000e-01 2.75141418e-02 0.0177 100000
1.778279e-01 2.71525636e-02 0.0161 100000
3.162278e-01 2.69233273e-02 0.0104 100000
5.623413e-01 2.76868201e-02 0.0203 100000
1.000000e+00 2.72239769e-02 0.0045 100000
1.778279e+00 2.73070818e-02 0.0045 100000
3.162278e+00 2.73139255e-02 0.0045 100000
5.623413e+00 2.72120772e-02 0.0045 100000
1.000000e+01 2.72656079e-02 0.0045 100000
1.778279e+01 2.72709401e-02 0.0045 100000
3.162278e+01 2.73745182e-02 0.0045 100000
5.623413e+01 2.73160653e-02 0.0044 100000
1.000000e+02 2.72788071e-02 0.0045 100000
1.778279e+02 2.72451101e-02 0.0045 100000
3.162278e+02 2.73372388e-02 0.0044 100000
5.623413e+02 2.72973357e-02 0.0044 100000
1.000000e+03 2.72457278e-02 0.0044 100000
