# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 6.826842e+03 6.68946729e-02 0.0172 50000
1.778279e-05 3.805766e+03 6.73445569e-02 0.0161 50000
3.162278e-05 2.115007e+03 6.71784681e-02 0.0151 50000
5.623413e-05 1.170217e+03 6.75801623e-02 0.0165 50000
1.000000e-04 6.442674e+02 6.67186342e-02 0.0165 50000
1.778279e-04 3.522142e+02 6.78515366e-02 0.0193 50000
3.162278e-04 1.906807e+02 6.79414793e-02 0.0226 50000
5.623413e-04 1.019770e+02 6.69641627e-02 0.0161 50000
1.000000e-03 5.362949e+01 6.65239920e-02 0.0157 50000
1.778279e-03 2.760484e+01 6.57921246e-02 0.0146 50000
3.162278e-03 1.381505e+01 6.57358523e-02 0.0172 50000
5.623413e-03 6.659980e+00 6.43192265e-02 0.0157 50000
1.000000e-02 3.063179e+00 6.30701975e-02 0.0200 50000
1.778279e-02 1.326762e+00 5.97754699e-02 0.0182 50000
3.162278e-02 5.312225e-01 5.68010598e-02 0.0200 50000
5.623413e-02 1.916366e-01 5.33300354e-02 0.0278 50000
1.000000e-01 5.980522e-02 4.41155838e-02 0.0325 50163
1.778279e-01 1.514548e-02 3.45864280e-02 0.0273 198079
3.162278e-01 2.810905e-03 2.36599264e-02 0.0234 1067272
5.623413e-01 3.223619e-04 1.26717497e-02 0.0290 5000000
1.000000e+00 1.727643e-05 4.49019965e-03 0.1205 5000000
1.778279e+00 2.751385e-07 8.50093646e-04 1.0000 5000000
3.162278e+00 6.501905e-10 0.00000000e+00 0.0000 5000000
5.623413e+00 8.036838e-14 0.00000000e+00 0.0000 5000000
1.000000e+01 1.054805e-19 0.00000000e+00 0.0000 5000000
1.778279e+01 2.419494e-29 0.00000000e+00 0.0000 5000000
3.162278e+01 3.833515e-64 0.00000000e+00 0.0000 5000000
5.623413e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
