kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs3.txt
kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    1.5520e+04   9.838927e-02       0.0126       50000     
1.778e-05    8.6295e+03   9.782931e-02       0.0121       50000     
3.162e-05    4.7807e+03   9.712292e-02       0.0122       50000     
5.623e-05    2.6374e+03   9.810296e-02       0.0136       50000     
1.000e-04    1.4460e+03   9.776545e-02       0.0130       50000     
1.778e-04    7.8552e+02   9.816200e-02       0.0127       50000     
3.162e-04    4.2252e+02   9.778853e-02       0.0125       50000     
5.623e-04    2.2395e+02   9.898837e-02       0.0141       50000     
1.000e-03    1.1657e+02   9.695882e-02       0.0138       50000     
1.778e-03    5.9272e+01   9.767660e-02       0.0136       50000     
3.162e-03    2.9261e+01   9.580568e-02       0.0136       50000     
5.623e-03    1.3924e+01   9.440118e-02       0.0141       50000     
1.000e-02    6.3271e+00   9.063821e-02       0.0135       50000     
1.778e-02    2.7171e+00   8.983254e-02       0.0161       50000     
3.162e-02    1.0855e+00   8.345740e-02       0.0178       50000     
5.623e-02    3.9487e-01   7.672316e-02       0.0188       50000     
1.000e-01    1.2609e-01   6.740382e-02       0.0271       50000     
1.778e-01    3.3476e-02   5.267130e-02       0.0288       89616     
3.162e-01    6.7628e-03   3.835640e-02       0.0251       443601    
5.623e-01    9.0184e-04   2.270563e-02       0.0214       3326539   
1.000e+00    6.2544e-05   9.476510e-03       0.0644       5000000   
1.778e+00    1.5437e-06   2.155509e-03       0.4618       5000000   
3.162e+00    7.5233e-09   0.000000e+00       0.0000       5000000   
5.623e+00    3.0088e-12   0.000000e+00       0.0000       5000000   
1.000e+01    2.6581e-17   0.000000e+00       0.0000       5000000   
1.778e+01    5.6477e-25   0.000000e+00       0.0000       5000000   
3.162e+01    9.2087e-43   0.000000e+00       0.0000       5000000   
5.623e+01    8.5740e-121  0.000000e+00       0.0000       5000000   
1.000e+02    0.0000e+00   0.000000e+00       -            -         
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs7.txt
kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    2.0013e+04   1.087075e-01       0.0122       50000     
1.778e-05    1.1119e+04   1.087352e-01       0.0123       50000     
3.162e-05    6.1488e+03   1.071352e-01       0.0129       50000     
