# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 2.001338e+04 1.08707531e-01 0.0122 50000
1.778279e-05 1.111925e+04 1.08735211e-01 0.0123 50000
3.162278e-05 6.148789e+03 1.07135230e-01 0.0129 50000
5.623413e-05 3.384733e+03 1.08246490e-01 0.0121 50000
1.000000e-04 1.848728e+03 1.08019826e-01 0.0127 50000
1.778279e-04 1.000531e+03 1.09618029e-01 0.0139 50000
3.162278e-04 5.353720e+02 1.08914876e-01 0.0144 50000
5.623413e-04 2.820489e+02 1.08463441e-01 0.0115 50000
1.000000e-03 1.457845e+02 1.07341845e-01 0.0119 50000
1.778279e-03 7.357952e+01 1.06444108e-01 0.0122 50000
3.162278e-03 3.604597e+01 1.06172992e-01 0.0133 50000
5.623413e-03 1.702591e+01 1.03634729e-01 0.0128 50000
1.000000e-02 7.688689e+00 1.02913129e-01 0.0143 50000
1.778279e-02 3.285874e+00 9.82561454e-02 0.0149 50000
3.162278e-02 1.309548e+00 9.27702065e-02 0.0160 50000
5.623413e-02 4.765934e-01 8.45030512e-02 0.0185 50000
1.000000e-01 1.529726e-01 7.12184830e-02 0.0226 50000
1.778279e-01 4.106574e-02 5.92793041e-02 0.0307 73054
3.162278e-01 8.475616e-03 4.18661199e-02 0.0241 353957
5.623413e-01 1.171562e-03 2.52449462e-02 0.0222 2560684
1.000000e+00 8.673855e-05 1.15718073e-02 0.0525 5000000
1.778279e+00 2.389377e-06 2.51497988e-03 0.3339 5000000
3.162278e+00 1.396342e-08 0.00000000e+00 0.0000 5000000
5.623413e+00 7.556195e-12 0.00000000e+00 0.0000 5000000
1.000000e+01 1.095650e-16 0.00000000e+00 0.0000 5000000
1.778279e+01 5.940580e-24 0.00000000e+00 0.0000 5000000
3.162278e+01 8.930041e-39 0.00000000e+00 0.0000 5000000
5.623413e+01 6.641418e-93 0.00000000e+00 0.0000 5000000
1.000000e+02 5.299526e-250 0.00000000e+00 0.0000 5000000
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
