# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 6.472535e+01 3.59406641e-03 0.0775 50000
1.778279e-05 3.589475e+01 3.78135752e-03 0.1023 50000
3.162278e-05 1.981655e+01 3.64619880e-03 0.0540 50000
5.623413e-05 1.087267e+01 3.53469485e-03 0.0533 50000
1.000000e-04 5.916194e+00 3.53444549e-03 0.0582 50000
1.778279e-04 3.181897e+00 3.54324938e-03 0.0719 50000
3.162278e-04 1.685518e+00 3.57042349e-03 0.0544 50000
5.623413e-04 8.751017e-01 3.40859030e-03 0.0518 50000
1.000000e-03 4.415074e-01 3.57842411e-03 0.0808 50000
1.778279e-03 2.145743e-01 3.53224261e-03 0.0598 50000
3.162278e-03 9.905663e-02 3.27628779e-03 0.0547 50000
5.623413e-03 4.271775e-02 3.30525083e-03 0.0801 70228
1.000000e-02 1.677939e-02 3.17418618e-03 0.0545 178791
1.778279e-02 5.793784e-03 2.63722394e-03 0.0357 517796
3.162278e-02 1.655429e-03 2.19696186e-03 0.0302 1812219
5.623413e-02 3.565596e-04 1.54867624e-03 0.0312 5000000
1.000000e-01 4.928560e-05 8.89712438e-04 0.0729 5000000
1.778279e-01 3.336340e-06 3.71532087e-04 0.2645 5000000
3.162278e-01 7.115815e-08 0.00000000e+00 0.0000 5000000
5.623413e-01 2.374502e-10 0.00000000e+00 0.0000 5000000
1.000000e+00 4.278499e-14 0.00000000e+00 0.0000 5000000
1.778279e+00 8.006461e-20 0.00000000e+00 0.0000 5000000
3.162278e+00 3.197625e-29 0.00000000e+00 0.0000 5000000
5.623413e+00 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+01 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+01 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
