# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 9.81159077e-02 0.0134 50000
3.162278e-05 9.85347558e-02 0.0137 50000
1.000000e-04 9.86299639e-02 0.0143 50000
3.162278e-04 9.85949676e-02 0.0166 50000
1.000000e-03 9.78035735e-02 0.0124 50000
3.162278e-03 9.84346066e-02 0.0127 50000
1.000000e-02 9.77816584e-02 0.0137 50000
3.162278e-02 9.73327539e-02 0.0128 50000
1.000000e-01 9.85541631e-02 0.0125 50000
3.162278e-01 9.84410402e-02 0.0132 50000
1.000000e+00 9.86269372e-02 0.0098 50000
3.162278e+00 9.80339912e-02 0.0063 50000
1.000000e+01 9.79483028e-02 0.0063 50000
3.162278e+01 9.86933169e-02 0.0064 50000
1.000000e+02 9.86130608e-02 0.0063 50000
3.162278e+02 9.82829672e-02 0.0064 50000
1.000000e+03 9.86538168e-02 0.0063 50000
