# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 1.552040e+04 9.83892685e-02 0.0126 50000
1.778279e-05 8.629465e+03 9.78293068e-02 0.0121 50000
3.162278e-05 4.780744e+03 9.71229235e-02 0.0122 50000
5.623413e-05 2.637449e+03 9.81029589e-02 0.0136 50000
1.000000e-04 1.446041e+03 9.77654522e-02 0.0130 50000
1.778279e-04 7.855181e+02 9.81619958e-02 0.0127 50000
3.162278e-04 4.225222e+02 9.77885307e-02 0.0125 50000
5.623413e-04 2.239484e+02 9.89883667e-02 0.0141 50000
1.000000e-03 1.165694e+02 9.69588237e-02 0.0138 50000
1.778279e-03 5.927183e+01 9.76766018e-02 0.0136 50000
3.162278e-03 2.926099e+01 9.58056754e-02 0.0136 50000
5.623413e-03 1.392381e+01 9.44011806e-02 0.0141 50000
1.000000e-02 6.327064e+00 9.06382143e-02 0.0135 50000
1.778279e-02 2.717140e+00 8.98325442e-02 0.0161 50000
3.162278e-02 1.085495e+00 8.34573980e-02 0.0178 50000
5.623413e-02 3.948691e-01 7.67231636e-02 0.0188 50000
1.000000e-01 1.260856e-01 6.74038151e-02 0.0271 50000
1.778279e-01 3.347618e-02 5.26712997e-02 0.0288 89616
3.162278e-01 6.762834e-03 3.83563982e-02 0.0251 443601
5.623413e-01 9.018382e-04 2.27056310e-02 0.0214 3326539
1.000000e+00 6.254398e-05 9.47651027e-03 0.0644 5000000
1.778279e+00 1.543701e-06 2.15550889e-03 0.4618 5000000
3.162278e+00 7.523315e-09 0.00000000e+00 0.0000 5000000
5.623413e+00 3.008811e-12 0.00000000e+00 0.0000 5000000
1.000000e+01 2.658079e-17 0.00000000e+00 0.0000 5000000
1.778279e+01 5.647745e-25 0.00000000e+00 0.0000 5000000
3.162278e+01 9.208710e-43 0.00000000e+00 0.0000 5000000
5.623413e+01 8.574029e-121 0.00000000e+00 0.0000 5000000
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
