# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
0.033226 1.46624673e+05 2.91474073e-15 7.31639426e-07 8.21618335e-02 9.83975380e+03
0.034718 1.53151198e+05 2.91134443e-15 8.33485242e-07 9.77596421e-02 1.22285769e+04
0.036276 1.59965595e+05 2.90778993e-15 9.49441603e-07 1.16308670e-01 1.51957832e+04
0.037905 1.67080315e+05 2.90406999e-15 1.08145123e-06 1.38364880e-01 1.88809417e+04
0.039606 1.74508324e+05 2.90017705e-15 1.23172193e-06 1.64588369e-01 2.34571588e+04
0.041384 1.82263121e+05 2.89610325e-15 1.40276235e-06 1.95762728e-01 2.91390949e+04
0.043241 1.90358761e+05 2.89184035e-15 1.59742234e-06 2.32817964e-01 3.61928837e+04
0.045182 1.98809871e+05 2.88737981e-15 1.81893882e-06 2.76857627e-01 4.49484032e+04
0.047211 2.07631673e+05 2.88271268e-15 2.07098746e-06 3.29190908e-01 5.58144501e+04
0.049330 2.16840003e+05 2.87782968e-15 2.35774132e-06 3.91370616e-01 6.92974981e+04
0.051544 2.26451335e+05 2.87272112e-15 2.68393698e-06 4.65238058e-01 8.60248790e+04
0.053858 2.36482797e+05 2.86737692e-15 3.05494936e-06 5.52976104e-01 1.06773417e+05
0.056275 2.46952201e+05 2.86178660e-15 3.47687618e-06 6.57171860e-01 1.32504789e+05
0.058801 2.57878057e+05 2.85593925e-15 3.95663327e-06 7.80890686e-01 1.64409159e+05
0.061441 2.69279603e+05 2.84982354e-15 4.50206212e-06 9.27763551e-01 2.03959026e+05
0.064199 2.81176820e+05 2.84342770e-15 5.12205117e-06 1.10209010e+00 2.52975610e+05
0.067080 2.93590460e+05 2.83673948e-15 5.82667236e-06 1.30896016e+00 3.13710686e+05
0.070091 3.06542068e+05 2.82974622e-15 6.62733505e-06 1.55439696e+00 3.88947390e+05
0.073238 3.20054002e+05 2.82243473e-15 7.53695912e-06 1.84552578e+00 4.82124335e+05
0.076525 3.34149457e+05 2.81479140e-15 8.57016963e-06 2.19077251e+00 5.97488343e+05
0.079960 3.48852487e+05 2.80680210e-15 9.74351561e-06 2.60009717e+00 7.40282269e+05
0.083549 3.64188026e+05 2.79845222e-15 1.10757156e-05 3.08526848e+00 9.16975848e+05
0.087300 3.80181909e+05 2.78972665e-15 1.25879334e-05 3.66018632e+00 1.13554921e+06
0.091218 3.96860895e+05 2.78060980e-15 1.43040865e-05 4.34126037e+00 1.40584087e+06
