zs,expected_halo_count,kappa_thr
0.1,1.39643057135,0.0001
0.11253355826,1.79710238033,0.0001
0.126638017347,2.30269337958,0.0001
0.14251026703,2.94103656974,0.0001
0.160371874375,3.76279914884,0.0001
0.180472176683,4.79974392287,0.0001
0.20309176209,6.10275708972,0.0001
0.228546386413,7.76742032102,0.0001
0.257191380906,9.87405016671,0.0001
0.289426612472,12.5049935694,0.0001
0.325702065566,15.8213103504,0.0001
0.366524123708,20.0256459772,0.0001
0.41246263829,25.2289912805,0.0001
0.464158883361,31.6930721708,0.0001
0.522334507427,39.8471048526,0.0001
0.587801607227,49.8440071437,0.0001
0.661474064123,62.0351720381,0.0001
0.744380301325,77.1663942301,0.0001
0.837677640068,95.4724818076,0.0001
0.942668455118,117.364196903,0.0001
1.06081835514,143.799220903,0.0001
1.19377664171,175.194103275,0.0001
1.3433993326,211.829508812,0.0001
1.51177507062,254.651409253,0.0001
1.70125427985,304.336931933,0.0001
1.91448197617,360.691062345,0.0001
2.15443469003,424.244125827,0.0001
2.42446201708,496.023935964,0.0001
2.72833337649,575.043226266,0.0001
3.07029062976,661.604820056,0.0001
3.45510729459,756.132698407,0.0001
3.88815518031,857.04164275,0.0001
4.37547937507,964.263469756,0.0001
4.92388263171,1078.21943196,0.0001
5.54102033001,1198.11666077,0.0001
6.23550734127,1320.09741425,0.0001
7.0170382867,1448.48731355,0.0001
7.8965228685,1579.36309642,0.0001
8.88623816274,1712.73033765,0.0001
10,1848.72818193,0.0001
