zs,kappa_thr,Nhalos
0.1,1.63631603969e-06,100
0.11253355826,2.08610391202e-06,100
0.126638017347,2.62388811571e-06,100
0.14251026703,3.34513818242e-06,100
0.160371874375,4.20749334283e-06,100
0.180472176683,5.36404222007e-06,100
0.20309176209,6.74685788772e-06,100
0.228546386413,8.48615456208e-06,100
0.257191380906,1.06738307595e-05,100
0.289426612472,1.3425475844e-05,100
0.325702065566,1.68864773762e-05,100
0.366524123708,2.1239702897e-05,100
0.41246263829,2.63571493521e-05,100
0.464158883361,3.31518533427e-05,100
0.522334507427,4.11393866519e-05,100
0.587801607227,5.10514183505e-05,100
0.661474064123,6.33516327711e-05,100
0.744380301325,7.75618996858e-05,100
0.837677640068,9.62494901158e-05,100
0.942668455118,0.00011625983105,100
1.06081835514,0.00014233782081,100
1.19377664171,0.000171929960143,100
1.3433993326,0.000204891262031,100
1.51177507062,0.000244171691901,100
1.70125427985,0.000287083222481,100
1.91448197617,0.00033753616559,100
2.15443469003,0.000391537566724,100
2.42446201708,0.000454178490437,100
2.72833337649,0.000519780894897,100
3.07029062976,0.00058688726735,100
3.45510729459,0.000662657415766,100
3.88815518031,0.000738183039295,100
4.37547937507,0.000811296658974,100
4.92388263171,0.000891651844901,100
5.54102033001,0.000979965840759,100
6.23550734127,0.00106259357963,100
7.0170382867,0.0011367476433,100
7.8965228685,0.00121607661604,100
8.88623816274,0.00130094163362,100
10,0.00137307832797,100
