z,rule,kappathr_flat,requested,valid,invalid,runtime_seconds,mean_inverse_mu,mean_inverse_mu_se,sigma_lnmu,sigma_lnmu_se,sigma_relative_to_adaptive,sigma_relative_se,kl_to_adaptive,kl_null_median,q99,q99_ci_lo,q99_ci_hi,q99.9,q99.9_ci_lo,q99.9_ci_hi,q99.99,q99.99_ci_lo,q99.99_ci_hi
0.2,adaptive,-1.0,1000000,1000000,0,161.1093174580019,1.0000414313634982,1.5931567448561217e-05,0.011499229655004332,0.0007580493428625728,0.0,0.09322743294875599,0.0,0.00022900651621719485,1.034185889077586,1.0339051434530249,1.0345073641095424,1.094461557401591,1.0919059684727892,1.097568370844687,1.2471804724160833,1.2324937787121324,1.2699924823552768
0.2,flat_1e-4,0.0001,1000000,1000000,0,127.07228666698211,1.0000936946749495,6.275122354679475e-05,0.013660512660496721,0.001753430206432881,0.18795024278446548,0.17141649795023803,0.0035944235813672974,0.00022900651621719485,1.0350528013938793,1.0347153570721872,1.0353975027802957,1.1009579531935068,1.0985966555152404,1.1045437150133044,1.2692653854892721,1.25282720775744,1.2930246535817997
0.2,flat_1e-3,0.001,1000000,999997,3,117.0096006669919,1.0005445402752606,0.000319029568033706,0.018945896174982695,0.0016381541908385712,0.6475795982331443,0.17913856888511204,0.11967812045941824,0.00022900651621719485,1.0357824605752797,1.0354091890667942,1.0362240862268222,1.1212185476584904,1.1176756308630897,1.1251786180650116,1.5139515589229808,1.4451911659524868,1.6815000294704168
1.0,adaptive,-1.0,1000000,999993,7,224.47122954198858,1.0004576174998603,6.834905657824722e-05,0.07635844736897672,0.0007933428214246294,0.0,0.014693281703968762,0.0,0.0002775335903003686,1.286931085462056,1.2844183346278346,1.2895344939992197,1.8154558510841292,1.7918901729143561,1.8427763751035524,4.127002996478675,3.788771090967857,4.844043232359649
1.0,flat_1e-4,0.0001,1000000,999993,7,238.62215320800897,1.000426154999809,6.78371588492672e-05,0.076090446486594,0.0007465538982347698,-0.0035097738576022053,0.014240046064451055,0.0002120964737152798,0.0002775335903003686,1.2868573640776388,1.2843505898533596,1.2892684385537254,1.8328856874226866,1.81060022422198,1.856437858371649,3.9922933407070045,3.503850831722801,4.565313011912971
1.0,flat_1e-3,0.001,1000000,999982,18,191.21357516699936,1.002305575275742,0.0011722619814472327,0.0812672697956246,0.0010606699043725714,0.06428656678844757,0.017754493788161557,0.007883146733800157,0.0002775335903003686,1.3011621413606633,1.2984999993751776,1.303950222998238,1.9104773804175332,1.8812784188378155,1.94307587325699,5.852327682499216,4.973333558038432,7.3672093396181815
10.0,adaptive,-1.0,300000,299616,384,109.96900462498888,1.011677939968445,0.002180497913873823,0.3253484189292766,0.0015812975076160936,0.0,0.006873530809761125,0.0,0.0010259010576267158,3.1803878721430454,3.12855091945569,3.234214187932267,14.2007435450736,12.709971450581897,15.921086643978448,117.90739343932368,92.58129691177787,156.07104799475346
10.0,flat_1e-4,0.0001,300000,299660,340,193.25235241701012,1.0070579796082855,0.0006936965072696162,0.3215471451994502,0.001580595304385472,-0.011683701252756529,0.00683195971522259,0.0049446270576319635,0.0010259010576267158,3.0130934255339907,2.973494125840835,3.052280328202891,11.505845258367037,10.479582628699749,12.712925638390193,98.15903634204737,75.98019024540284,147.18673745849804
10.0,flat_1e-3,0.001,300000,299676,324,98.39944004200515,1.0083508248483959,0.000490883522492015,0.32546375687247103,0.0015886606000646707,0.0003545059280571916,0.00689076784515219,0.0010528052858846367,0.0010259010576267158,3.1069999810569757,3.0638475735981547,3.1512429669724424,13.962538284292409,12.748794676695661,15.680064222977139,137.47487966631763,87.0657525100507,201.69167932068973
