bias,z,rule,kappathr_flat,nsamples,mean_kappa,sigma_kappa,sigma_kappa_se,sigma_kappa_clipped_abs_1,runtime_seconds,sigma_relative_to_adaptive,clipped_sigma_relative_to_adaptive
True,0.2,adaptive,-1.0,200000,0.006269405955858775,0.0046982892393883525,7.359825435889691e-05,0.0046982892393883525,34.12172312499024,0.0,0.0
True,0.2,flat_1e-4,0.0001,200000,0.0040000475047428236,0.00504237662839046,0.0002359807190005922,0.00504237662839046,27.36147325002821,0.07323674032612404,0.07323674032612404
True,0.2,flat_1e-3,0.001,200000,0.0014937711559139576,0.005264046418421013,0.00021781192144307404,0.005264046418421013,25.449817082990194,0.12041769891253296,0.12041769891253296
True,1.0,adaptive,-1.0,200000,0.09538618045041272,0.035022565231484955,0.0005712943185205318,0.033839260571148125,46.987496916990494,0.0,0.0
True,1.0,flat_1e-4,0.0001,200000,0.09984447627765301,0.036454115071572764,0.002374726200739782,0.03387624208331564,48.1783012500091,0.04087507098997012,0.001092858163663557
True,1.0,flat_1e-3,0.001,200000,0.0526402233816241,0.03512209811883634,0.0003592076727142651,0.03451131304115863,40.190598582994426,0.002841964507554362,0.01986014051924956
True,10.0,adaptive,-1.0,200000,0.5426618094566137,0.13541722202816786,0.0005662724032656678,0.1328957879471531,63.69718491699314,0.0,0.0
True,10.0,flat_1e-4,0.0001,200000,1.2331496673305624,0.13865620939354098,0.003069661032109213,0.1343390934886937,129.6367677919916,0.023918577835686072,0.010860431047781116
True,10.0,flat_1e-3,0.001,200000,0.6194056778368562,0.1352450237748265,0.000630675453046958,0.13306026801014456,65.5911663750012,-0.0012716126557783536,0.0012376619720775306
False,0.2,adaptive,-1.0,200000,0.006236053305723922,0.004226041290273933,4.0751982922646775e-05,0.004226041290273933,33.41653537499951,0.0,0.0
False,0.2,flat_1e-4,0.0001,200000,0.003999794268076578,0.004279221439351812,5.058099450424102e-05,0.004279221439351812,27.26439975001267,0.01258391611086962,0.01258391611086962
False,0.2,flat_1e-3,0.001,200000,0.0015750430318330184,0.00405909850685776,6.535744018917403e-05,0.00405909850685776,25.356325000000652,-0.039503348867031884,-0.039503348867031884
False,1.0,adaptive,-1.0,200000,0.09549467784972328,0.03258937007693444,0.00017228217962256343,0.03258937007693444,46.16131237501395,0.0,0.0
False,1.0,flat_1e-4,0.0001,200000,0.09993130713799059,0.03237427987294458,0.00016353432267148443,0.03237427987294458,47.494903124985285,-0.006600011092024571,-0.006600011092024571
False,1.0,flat_1e-3,0.001,200000,0.052747491682196126,0.03161340446935681,0.0001562853411653944,0.03161340446935681,39.590192208997905,-0.029947360297963632,-0.029947360297963632
False,10.0,adaptive,-1.0,200000,0.5426548163305231,0.12171118514896502,0.0003470635122434142,0.1209466360506545,62.95679466598085,0.0,0.0
False,10.0,flat_1e-4,0.0001,200000,1.2329460401632804,0.12488130348022379,0.00034788074326946535,0.12395449114130687,132.47639624998556,0.026046236649316823,0.024869274490549875
False,10.0,flat_1e-3,0.001,200000,0.6194181714866763,0.12140056078449579,0.0003324450705303434,0.12077130236687876,65.16743320898968,-0.0025521431254575955,-0.0014496780522470498
