x, y
0.9553586897893137, 0.030483991317947347
0.9558359621451105, 0.0461154898799346
0.9568558866314706, 0.06974126656092382
0.956849348653994, 0.10623501341926932
0.9562674686585705, 0.1750115939290388
0.9583007796538141, 0.2958819006331946
0.9600202677301777, 0.4650060115346148
0.9601510272797111, 0.6931574337955566
0.9614520847975679, 0.9599813648650414
0.9622824079371046, 1.836410195491975
0.9655579346529152, 3.0428231570952327
0.9673689544139521, 4.485721141286603
0.9718605449404227, 7.472779573952511
0.9756460338994133, 11.314963291692354
0.9868717412268515, 14.031511917776752
0.983772739902911, 14.091342696895
0.9970579101354997, 11.469905863451139
1.003327830535624, 8.990837530668363
1.0085647504944346, 7.127286249331115
1.0165737729033524, 5.374057911826763
1.0226410160016999, 4.078667860595857
1.0313953678429577, 2.6910290424624965
1.0409408149588926, 1.7897124343266368
1.0494990274758504, 1.2994549188722786
1.0557950997858814, 0.9764599438561086
1.0665043068926627, 0.6894805206149861
1.0752259688465373, 0.4914149516467671
1.0842679916967688, 0.3662501064347918
1.1024827969467645, 0.20093602931832474
1.1205603046697505, 0.13125083596189474
1.09297657769569, 0.2668539560619953
1.1354342034291691, 0.0735286648678859
1.1522629574541117, 0.05027278550785453
1.167927951488207, 0.03499692015502541
1.18781647897223, 0.02950859532009683
1.2042268024386655, 0.022445097028973588
