z,sigma8,Nreal,Nhalos,alpha,alpha_bootstrap_std,alpha_p16,alpha_p50,alpha_p84,xi_break,tail_event_count,n_events_good_mu
0.5,0.75,5000,100,1.0445166677908873,0.004259631120951925,1.0410047223330376,1.0449442739223995,1.0492155636515605,0.002572219753032141,250984,499351
0.5,0.81,5000,100,1.0450023246940696,0.0033645482858740247,1.040916095229885,1.0440919473792527,1.0479316958105598,0.0027235044941648005,248980,497002
0.5,0.87,5000,100,1.0418877205545307,0.00378078358236133,1.0382651119955464,1.041810094529422,1.0462202211183298,0.002795876198463514,253637,498654
1.0,0.75,5000,100,1.0282746584824989,0.0033864171068115323,1.0251704334435832,1.0285741895982754,1.0314027703554975,0.003091811291581212,435402,500007
1.0,0.81,5000,100,1.0160847352370244,0.0036416846369913846,1.0124804461278283,1.0162895084807664,1.0195833110173247,0.0028343462924853447,423482,499408
1.0,0.87,5000,100,1.0006852828337789,0.004642155130114831,0.9976384168525972,1.0024653326092758,1.0058529331130674,0.002254516071001724,398861,502861
2.0,0.75,5000,100,1.021590376971469,0.0057743725009555685,1.0156981787945614,1.0196442098047742,1.0262723866024577,0.0038369138679008674,359602,500849
2.0,0.81,5000,100,1.020872800471226,0.004948263861787571,1.0156888896463043,1.0204991085341673,1.025850006100813,0.004026915465818204,359909,502949
2.0,0.87,5000,100,1.0214784557986927,0.006375988159249736,1.015614720208453,1.0220564117257964,1.0275832140969154,0.004352391166604641,362800,501709
5.0,0.75,5000,100,0.8888552680318347,0.016533554949381645,0.8726586235935224,0.8888607818879156,0.905706189298471,0.004680040424333812,236659,497575
5.0,0.81,5000,100,0.8910130585696552,0.016159698242257155,0.8772190689193573,0.8905653718721863,0.904610340299331,0.005018942367689372,237806,498745
5.0,0.87,5000,100,0.8847273498872654,0.01715736073346736,0.8683971331286736,0.8889444058266734,0.902905042264229,0.005264243530870753,237691,503380
