z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
0.5,0.75,3.1622776601683795e-05,0.5666904988435358,0.5666904988435358,499351
0.5,0.75,3.665241237079626e-05,0.6184176938296284,0.6184176938296284,499351
0.5,0.75,4.248201698162608e-05,0.6805367077320839,0.6805367077320839,499351
0.5,0.75,4.9238826317067415e-05,0.7565287435468652,0.7565287435468652,499351
0.5,0.75,5.707031326057167e-05,0.851625370884916,0.851625370884916,499351
0.5,0.75,6.614740641230145e-05,0.9740668105157437,0.9740668105157437,499351
0.5,0.75,7.666822074546222e-05,1.0621799682281752,1.0621799682281752,467348
0.5,0.75,8.886238162743407e-05,1.0665887087838244,1.0665887087838244,401067
0.5,0.75,0.00010299603658099899,1.071328796748616,1.071328796748616,344063
0.5,0.75,0.00011937766417144357,1.0775617350821514,1.0775617350821514,295316
0.5,0.75,0.00013836480680324593,1.0823708525594904,1.0823708525594904,252918
0.5,0.75,0.0001603718743751331,1.0879600500915814,1.0879600500915814,216607
0.5,0.75,0.00018587918911465635,1.0940040698229427,1.0940040698229427,185408
0.5,0.75,0.00021544346900318823,1.1005740642870225,1.1005740642870225,158634
0.5,0.75,0.0002497099786006541,1.1077529088995193,1.1077529088995193,135647
0.5,0.75,0.0002894266124716752,1.117260673369743,1.117260673369743,116086
0.5,0.75,0.00033546021859540435,1.124422907116949,1.124422907116949,99025
0.5,0.75,0.00038881551803080855,1.1353526516971812,1.1353526516971812,84635
0.5,0.75,0.0004506570337745473,1.1444242347376268,1.1444242347376268,72103
0.5,0.75,0.0005223345074266843,1.156066967189044,1.156066967189044,61468
0.5,0.75,0.0006054123584037269,1.1641733901190954,1.1641733901190954,52161
0.5,0.75,0.0007017038286703822,1.1713709324348853,1.1713709324348853,44170
0.5,0.75,0.0008133105582266928,1.1774719981358297,1.1774719981358297,37341
0.5,0.75,0.0009426684551178855,1.1886253953257329,1.1886253953257329,31647
0.5,0.75,0.001092600861117378,1.196703667005924,1.196703667005924,26720
0.5,0.75,0.0012663801734674022,1.2124444260286176,1.2124444260286176,22662
0.5,0.75,0.0014677992676220691,1.2254838192141393,1.2254838192141393,19134
0.5,0.75,0.0017012542798525892,1.2368441813394442,1.2368441813394442,16101
0.5,0.75,0.001971840556512642,1.2538136762080112,1.2538136762080112,13579
0.5,0.75,0.0022854638641349886,1.2755525259352862,1.2755525259352862,11463
0.5,0.75,0.0026489692876105267,1.3006798709443195,1.3006798709443195,9668
0.5,0.75,0.00307029062975785,1.3142141007796457,1.3142141007796457,8055
0.5,0.75,0.0035586235730509655,1.3292676522363471,1.3292676522363471,6701
0.5,0.75,0.004124626382901348,1.3545890539860486,1.3545890539860486,5602
0.5,0.75,0.00478065253300738,1.3719606662227992,1.3719606662227992,4641
0.5,0.75,0.005541020330009492,1.3884158011230099,1.3884158011230099,3830
0.5,0.75,0.006422325422229356,1.4262102428703105,1.4262102428703105,3196
0.5,0.75,0.007443803013251681,1.4525098240518453,1.4525098240518453,2633
0.5,0.75,0.008627747685955867,1.47184721887352,1.47184721887352,2152
0.5,0.75,0.01,1.5183679433782689,1.5183679433782689,1780
0.5,0.81,3.1622776601683795e-05,0.5497616165231719,0.5497616165231719,497002
0.5,0.81,3.665241237079626e-05,0.5983120673947777,0.5983120673947777,497002
0.5,0.81,4.248201698162608e-05,0.6562683194191652,0.6562683194191652,497002
0.5,0.81,4.9238826317067415e-05,0.726656850520302,0.726656850520302,497002
0.5,0.81,5.707031326057167e-05,0.8139585621385517,0.8139585621385517,497002
0.5,0.81,6.614740641230145e-05,0.9251017614925983,0.9251017614925983,497002
0.5,0.81,7.666822074546222e-05,1.0602936054115728,1.0602936054115728,491893
0.5,0.81,8.886238162743407e-05,1.0641193242147082,1.0641193242147082,422024
0.5,0.81,0.00010299603658099899,1.0690514230701054,1.0690514230701054,362223
0.5,0.81,0.00011937766417144357,1.075342471843798,1.075342471843798,311031
0.5,0.81,0.00013836480680324593,1.0806215227003984,1.0806215227003984,266574
